_respondent_id,Q1_Age,Q2_Occupation,Q3_Ethnicity,Q4_Income,Q5_Wardrobe_Size,Q6_Shopping_Frequency,Q7_Current_Brands,Q8_Shopping_Channels,Q9_Spend_Per_Kurti,Q10_Purchase_Triggers,Q11_Style_Preference,Q12_Fabric_Preference,Q13_Color_Preference,Q14_Fit_Preference,Q15_Print_Preference,Q16_Sleeve_Preference,Q16_Neckline_Preference,Q16_Length_Preference,Q17_Bottom_Pairing,Q18_Occasions,Q19_Pack_Interest,Q20_Bundle_Budget,Q21_Discount_Preference,Q22_Fashion_Identity,Q23_Pain_Points,Q24_Return_Anxiety,Q25_Purchase_Intent,_persona
R0824,28-34,Student (Postgraduate),South Asian,"7,001-12,000 AED",13-20,Once in 2-3 months,Buy during India visits,Brand websites (D2C online stores),Above 250 AED,Upcoming festival/occasion; Need for daily/work wardrobe refresh; New season or collection drop,Straight-cut,Pure Cotton; Silk/Chanderi,"Neutrals (black, white, beige, grey); Bright/Pop colors (red, yellow, hot pink, orange)",Regular/comfort fit,Florals; Geometric/abstract; Solid/plain; Stripes/checks,3/4th sleeves,Round neck; V-neck,Just above knee; Hip length (above mid-thigh),Cigarette/straight pants,Weekend/lounging,9-to-5 Edit (3 workwear kurtis),Above 250 AED,Combo price lower than individual total,I have a set style - I know what works and stick to it,Sizing is inconsistent across brands; Fabric quality doesn't match product photos; Limited trendy options for short kurtis; No major frustrations,Rarely - I'm usually okay with online purchases,Might or might not,professional
R0825,35 and above,Working Professional,South Asian,"7,001-12,000 AED",More than 20,,Libas; Local UAE stores/boutiques; Instagram/WhatsApp small brands,Physical stores/malls in UAE,151-250 AED,Upcoming festival/occasion; Gift for someone,Anarkali (short flared); Asymmetric/high-low hem; Kaftan-style,Silk/Chanderi,"Bright/Pop colors (red, yellow, hot pink, orange)",Slim/body-hugging fit,Florals; Mirror work/sequins,Full sleeves; 3/4th sleeves,Round neck; V-neck; Keyhole/cut-out,Mid-thigh; Knee length,Leggings/jeggings,"Festivals (Diwali, Eid, etc.); Family gatherings/dinners; Parties/date nights",Festive Glow (2 embroidered/silk kurtis); None - I prefer buying single pieces,80-120 AED,Free delivery,I only dress up for occasions - daily wear is minimal effort,,"Yes, frequently - it's a major concern",Might or might not,festive
R0826,23-27,Homemaker,South Asian,No personal income,6-12,Only during festivals/occasions,Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi); Buy from India (trips or family shipments)",Under 30 AED,Need for daily/work wardrobe refresh,A-line,Muslin,"Pastels (peach, lavender, mint, blush)",Relaxed/loose fit,Geometric/abstract,Full sleeves,Round neck,Just above knee,Jeans/denim; Leggings/jeggings; Dhoti pants/tulip pants,I don't wear kurtis currently,None - I prefer buying single pieces,Under 80 AED,"Flat percentage off (e.g., 20% off)",I love mixing Indian and Western styles to create my own look,No major frustrations,Rarely - I'm usually okay with online purchases,Probably would not,non_customer
R0827,23-27,Working Professional,South Asian,"12,001-20,000 AED",13-20,Once a month,Instagram/WhatsApp small brands; Anouk (Myntra); Buy during India visits,Brand websites (D2C online stores); Physical stores/malls in UAE,30-60 AED,Saw something trending on social media; Upcoming festival/occasion; Sale or discount offer,Anarkali (short flared),Silk/Chanderi,"Earthy tones (mustard, rust, olive, brown); Jewel tones (emerald, maroon, royal blue, deep purple); Neutrals (black, white, beige, grey)",Slim/body-hugging fit,Solid/plain; Embroidered/thread work,Full sleeves; 3/4th sleeves,Round neck,Mid-thigh,Cigarette/straight pants,"Office/workplace; Festivals (Diwali, Eid, etc.)",9-to-5 Edit (3 workwear kurtis),80-120 AED,,I prioritize comfort and practicality above everything,Sizing is inconsistent across brands; Fabric quality doesn't match product photos; Poor delivery experience to UAE (slow/damaged),Sometimes - depends on the brand/platform,Might or might not,professional
R0828,23-27,Working Professional,South Asian,"7,001-12,000 AED",13-20,Once in 2-3 months,Meesho/unbranded sellers,Physical stores/malls in UAE; Buy from India (trips or family shipments),61-100 AED,Sale or discount offer; Need for daily/work wardrobe refresh,Straight-cut; A-line; Shirt-style/collar,Rayon,"Earthy tones (mustard, rust, olive, brown)",Slim/body-hugging fit,Solid/plain,Full sleeves; 3/4th sleeves,V-neck,Just above knee,Cigarette/straight pants; Dhoti pants/tulip pants,Office/workplace; Casual outings/errands,None - I prefer buying single pieces,,"Flat percentage off (e.g., 20% off); Combo price lower than individual total",I love mixing Indian and Western styles to create my own look,Fabric quality doesn't match product photos; Limited trendy options for short kurtis,Rarely - I'm usually okay with online purchases,Definitely would not,professional
R0829,18-22,Student (School/Undergraduate),South Asian,No personal income,1-5,Weekly,Biba; Instagram/WhatsApp small brands,Instagram/Social media shops; Physical stores/malls in UAE,61-100 AED,,Straight-cut,Cotton-Linen blend; Rayon,"Pastels (peach, lavender, mint, blush); Neutrals (black, white, beige, grey)",Slim/body-hugging fit,Block print/Jaipur print,3/4th sleeves; Short/half sleeves,,Hip length (above mid-thigh); Knee length,Jeans/denim; Palazzo pants,Parties/date nights,9-to-5 Edit (3 workwear kurtis),121-180 AED,First-order discount,I follow trends closely and love experimenting with new styles,Fabric quality doesn't match product photos; Limited trendy options for short kurtis,Sometimes - depends on the brand/platform,Might or might not,trend
R0830,23-27,Student (Postgraduate),South Asian,"3,000-7,000 AED",6-12,2-3 times a month,Buy during India visits,"Online marketplaces (Amazon, Noon, Namshi); Brand websites (D2C online stores); Physical stores/malls in UAE",,Upcoming festival/occasion,Anarkali (short flared),Cotton-Linen blend; Muslin,"Pastels (peach, lavender, mint, blush); Jewel tones (emerald, maroon, royal blue, deep purple); Bright/Pop colors (red, yellow, hot pink, orange)",Relaxed/loose fit,Embroidered/thread work,Full sleeves; Bell/statement sleeves,V-neck; Boat neck,Just above knee,Sharara,Office/workplace; Family gatherings/dinners,Campus Essentials (3 daily-wear cotton kurtis); Festive Glow (2 embroidered/silk kurtis); None - I prefer buying single pieces,181-250 AED,Free delivery,I only dress up for occasions - daily wear is minimal effort,Sizing is inconsistent across brands,Rarely - I'm usually okay with online purchases,Probably would not,festive
R0831,18-22,Student (School/Undergraduate),South Asian,"Under 3,000 AED",6-12,Once a month,Biba; Anouk (Myntra); Meesho/unbranded sellers,"Online marketplaces (Amazon, Noon, Namshi); Buy from India (trips or family shipments)",30-60 AED,Upcoming festival/occasion,Asymmetric/high-low hem,Pure Cotton; Denim-look fabric,"Bright/Pop colors (red, yellow, hot pink, orange); Multi-color/prints",Slim/body-hugging fit,Digital/contemporary prints,3/4th sleeves,V-neck,Hip length (above mid-thigh); Just above knee,Jeans/denim,Daily college/university wear; Casual outings/errands,,Under 80 AED,Free delivery; Buy 2 Get 1 Free; I don't need discounts - I buy if I like the product,I follow trends closely and love experimenting with new styles,Sizing is inconsistent across brands; Fabric quality doesn't match product photos; Limited trendy options for short kurtis,Never - I'm confident buying online,Might or might not,campus
R0832,28-34,Homemaker,South Asian,"Above 20,000 AED",6-12,Only during festivals/occasions,Instagram/WhatsApp small brands; Local UAE stores/boutiques; Libas,Buy from India (trips or family shipments),151-250 AED,Upcoming festival/occasion; Gift for someone,A-line; Anarkali (short flared),Silk/Chanderi,"Bright/Pop colors (red, yellow, hot pink, orange)",Regular/comfort fit,,Full sleeves; 3/4th sleeves,Round neck,Knee length,Palazzo pants,"Festivals (Diwali, Eid, etc.); Family gatherings/dinners",Campus Essentials (3 daily-wear cotton kurtis),181-250 AED,"Flat percentage off (e.g., 20% off); Combo price lower than individual total",I only dress up for occasions - daily wear is minimal effort,Sizing is inconsistent across brands; Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged),Sometimes - depends on the brand/platform,Definitely would buy,festive
R0833,18-22,Student (Postgraduate),Southeast Asian,,6-12,Once a month,Anouk (Myntra); Instagram/WhatsApp small brands,Physical stores/malls in UAE,Above 250 AED,Saw something trending on social media,Kaftan-style,,"Earthy tones (mustard, rust, olive, brown)",Relaxed/loose fit,Block print/Jaipur print; Embroidered/thread work; Digital/contemporary prints,Full sleeves; Short/half sleeves,V-neck,Mid-thigh,Leggings/jeggings; Cigarette/straight pants,"Daily college/university wear; Casual outings/errands; Festivals (Diwali, Eid, etc.)","Vibe Check Drop (1 trendy statement piece, monthly limited)",Under 80 AED,"Flat percentage off (e.g., 20% off); Buy 2 Get 1 Free; Free delivery",I follow trends closely and love experimenting with new styles,Sizing is inconsistent across brands; Limited trendy options for short kurtis; Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged); Can't find good curated sets/bundles,"Yes, frequently - it's a major concern",Might or might not,campus
R0834,18-22,Student (Postgraduate),,No personal income,6-12,Rarely/Never,Meesho/unbranded sellers; Instagram/WhatsApp small brands,"Online marketplaces (Amazon, Noon, Namshi)",30-60 AED,Sale or discount offer,Straight-cut; Asymmetric/high-low hem; Kaftan-style,Pure Cotton; Rayon,"Pastels (peach, lavender, mint, blush); Earthy tones (mustard, rust, olive, brown)",Slim/body-hugging fit,Block print/Jaipur print,3/4th sleeves; Short/half sleeves,V-neck,Hip length (above mid-thigh); Mid-thigh,Jeans/denim,,None - I prefer buying single pieces,80-120 AED,Buy 2 Get 1 Free; Free delivery,I prioritize comfort and practicality above everything,Limited trendy options for short kurtis; Too expensive for the quality offered,Sometimes - depends on the brand/platform,Probably would buy,campus
R0835,23-27,Working Professional,South Asian,"7,001-12,000 AED",More than 20,2-3 times a month,Libas; Biba,"Online marketplaces (Amazon, Noon, Namshi)",151-250 AED,Upcoming festival/occasion; Gift for someone,Straight-cut; A-line; Peplum,Pure Cotton; Georgette/Chiffon; Silk/Chanderi; Muslin,"Jewel tones (emerald, maroon, royal blue, deep purple)",Flared/breezy fit,Florals; Embroidered/thread work; Mirror work/sequins,Full sleeves,Keyhole/cut-out,Just above knee; Knee length,Jeans/denim; Palazzo pants,,Festive Glow (2 embroidered/silk kurtis),Above 250 AED,Free delivery; Referral rewards,I love mixing Indian and Western styles to create my own look,Fabric quality doesn't match product photos,Never - I'm confident buying online,Probably would buy,festive
R0836,28-34,Working Professional,South Asian,"3,000-7,000 AED",1-5,Once a month,Biba; W for Woman,Brand websites (D2C online stores),101-150 AED,Need for daily/work wardrobe refresh; Gift for someone,Straight-cut; Anarkali (short flared),Cotton-Linen blend; Silk/Chanderi,"Neutrals (black, white, beige, grey)",Relaxed/loose fit,Geometric/abstract; Digital/contemporary prints,Full sleeves,Round neck; Mandarin/band collar,Mid-thigh; Just above knee,Cigarette/straight pants,Office/workplace,None - I prefer buying single pieces,,Combo price lower than individual total,I love mixing Indian and Western styles to create my own look,Poor delivery experience to UAE (slow/damaged),Sometimes - depends on the brand/platform,Probably would buy,professional
R0837,23-27,Homemaker,Other,,1-5,Only during festivals/occasions,Buy during India visits; I don't buy kurtis currently,Physical stores/malls in UAE,Under 30 AED,Need for daily/work wardrobe refresh; New season or collection drop,Shirt-style/collar,No preference,Multi-color/prints,Regular/comfort fit,Solid/plain,Short/half sleeves,Shirt collar,Hip length (above mid-thigh); Just above knee,,Daily college/university wear; Family gatherings/dinners; I don't wear kurtis currently,"Vibe Check Drop (1 trendy statement piece, monthly limited); None - I prefer buying single pieces",80-120 AED,"Flat percentage off (e.g., 20% off)",I have a set style - I know what works and stick to it,No major frustrations,Never - I'm confident buying online,Probably would not,non_customer
R0838,18-22,Self-Employed/Freelancer,South Asian,"12,001-20,000 AED",6-12,Only during festivals/occasions,Local UAE stores/boutiques; Buy during India visits; Meesho/unbranded sellers,"Online marketplaces (Amazon, Noon, Namshi); Brand websites (D2C online stores); Buy from India (trips or family shipments)",101-150 AED,Saw something trending on social media,Straight-cut,Denim-look fabric,"Earthy tones (mustard, rust, olive, brown); Multi-color/prints",Flared/breezy fit,Geometric/abstract; Solid/plain,3/4th sleeves,Round neck,Knee length,,Office/workplace,None - I prefer buying single pieces,Under 80 AED,Buy 2 Get 1 Free,I prioritize comfort and practicality above everything,Too expensive for the quality offered,Sometimes - depends on the brand/platform,Probably would buy,professional
R0839,23-27,Homemaker,South Asian,"3,000-7,000 AED",13-20,Once in 2-3 months,Libas; Biba,Brand websites (D2C online stores),101-150 AED,Upcoming festival/occasion; Saw something trending on social media,Anarkali (short flared),Pure Cotton; Silk/Chanderi,"Jewel tones (emerald, maroon, royal blue, deep purple)",Relaxed/loose fit,Embroidered/thread work,Bell/statement sleeves,Keyhole/cut-out,Knee length,Skirts,"Festivals (Diwali, Eid, etc.); Family gatherings/dinners",Festive Glow (2 embroidered/silk kurtis),181-250 AED,Combo price lower than individual total; First-order discount,I have a set style - I know what works and stick to it,Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged),Sometimes - depends on the brand/platform,Definitely would buy,festive
R0840,18-22,Student (School/Undergraduate),Arab/Middle Eastern,"12,001-20,000 AED",1-5,2-3 times a month,Libas; Meesho/unbranded sellers,"Online marketplaces (Amazon, Noon, Namshi); Brand websites (D2C online stores); WhatsApp-based sellers",151-250 AED,Impulse/mood shopping,Straight-cut; A-line; Anarkali (short flared); Peplum; Asymmetric/high-low hem; Crop kurti,Rayon,,Regular/comfort fit,Mirror work/sequins,Short/half sleeves,Boat neck,Hip length (above mid-thigh),Leggings/jeggings,"Casual outings/errands; Festivals (Diwali, Eid, etc.)",,Under 80 AED,Referral rewards,I have a set style - I know what works and stick to it,Difficult or costly returns,"Yes, frequently - it's a major concern",Probably would not,trend
R0841,18-22,Student (Postgraduate),South Asian,"Under 3,000 AED",More than 20,Rarely/Never,Buy during India visits,"Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops",61-100 AED,Impulse/mood shopping; Need for daily/work wardrobe refresh; Sale or discount offer,A-line; Crop kurti,Muslin,"Jewel tones (emerald, maroon, royal blue, deep purple)",Relaxed/loose fit,Florals; Digital/contemporary prints,Sleeveless,V-neck,Mid-thigh,Jeans/denim,Casual outings/errands,"Campus Essentials (3 daily-wear cotton kurtis); Festive Glow (2 embroidered/silk kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",80-120 AED,Free delivery; Combo price lower than individual total,I love mixing Indian and Western styles to create my own look,Fabric quality doesn't match product photos; Too expensive for the quality offered; Can't find good curated sets/bundles,Rarely - I'm usually okay with online purchases,Probably would buy,campus
R0842,23-27,Student (School/Undergraduate),South Asian,No personal income,13-20,Once a month,Meesho/unbranded sellers; Local UAE stores/boutiques; Instagram/WhatsApp small brands,"Online marketplaces (Amazon, Noon, Namshi)",101-150 AED,Sale or discount offer; Saw something trending on social media,Asymmetric/high-low hem; Crop kurti,Cotton-Linen blend; Georgette/Chiffon; Denim-look fabric; No preference,"Pastels (peach, lavender, mint, blush); Bright/Pop colors (red, yellow, hot pink, orange); Multi-color/prints",,Block print/Jaipur print; Solid/plain,3/4th sleeves; Bell/statement sleeves,V-neck,Just above knee,Palazzo pants; Cigarette/straight pants; Skirts,Daily college/university wear; Casual outings/errands,None - I prefer buying single pieces,80-120 AED,"Flat percentage off (e.g., 20% off); First-order discount",I love mixing Indian and Western styles to create my own look,Limited trendy options for short kurtis,Rarely - I'm usually okay with online purchases,Definitely would buy,trend
R0843,Under 18,Student (School/Undergraduate),Arab/Middle Eastern,No personal income,None,Weekly,Buy during India visits; Instagram/WhatsApp small brands; Meesho/unbranded sellers,WhatsApp-based sellers; Instagram/Social media shops; Physical stores/malls in UAE,Under 30 AED,Saw something trending on social media; Sale or discount offer; Upcoming festival/occasion,A-line; Crop kurti,Pure Cotton; Denim-look fabric; No preference,,Relaxed/loose fit,Block print/Jaipur print; Digital/contemporary prints,Short/half sleeves,Mandarin/band collar,Hip length (above mid-thigh),Palazzo pants; Dhoti pants/tulip pants,Daily college/university wear; Family gatherings/dinners; Parties/date nights; Weekend/lounging,9-to-5 Edit (3 workwear kurtis),Under 80 AED,Combo price lower than individual total; Free delivery; Buy 2 Get 1 Free,I follow trends closely and love experimenting with new styles,Fabric quality doesn't match product photos; Difficult or costly returns,"Yes, frequently - it's a major concern",Definitely would buy,campus
R0844,23-27,Student (School/Undergraduate),Arab/Middle Eastern,"3,000-7,000 AED",13-20,Weekly,I don't buy kurtis currently,Instagram/Social media shops,61-100 AED,Upcoming festival/occasion; Saw something trending on social media; Need for daily/work wardrobe refresh,Straight-cut,Cotton-Linen blend,"Earthy tones (mustard, rust, olive, brown)",Regular/comfort fit,Mirror work/sequins,Full sleeves,V-neck,Just above knee; Knee length,Jeans/denim,I don't wear kurtis currently,None - I prefer buying single pieces,Under 80 AED,Free delivery,I prioritize comfort and practicality above everything,No major frustrations,,Might or might not,non_customer
R0845,23-27,Student (School/Undergraduate),South Asian,No personal income,1-5,Only during festivals/occasions,Buy during India visits,Instagram/Social media shops; Physical stores/malls in UAE,61-100 AED,Upcoming festival/occasion; Need for daily/work wardrobe refresh; Saw something trending on social media,Straight-cut; Shirt-style/collar; Asymmetric/high-low hem; Kaftan-style,Pure Cotton; Rayon; Denim-look fabric; No preference,"Pastels (peach, lavender, mint, blush); Bright/Pop colors (red, yellow, hot pink, orange)",Regular/comfort fit,Geometric/abstract,,Shirt collar,Just above knee,Jeans/denim; Leggings/jeggings,"Daily college/university wear; Casual outings/errands; Festivals (Diwali, Eid, etc.)","Festive Glow (2 embroidered/silk kurtis); 9-to-5 Edit (3 workwear kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",,Free delivery,I follow trends closely and love experimenting with new styles,Limited trendy options for short kurtis; Too expensive for the quality offered,"Yes, frequently - it's a major concern",Probably would buy,campus
R0846,28-34,Working Professional,African,"12,001-20,000 AED",1-5,Once in 2-3 months,Libas; Buy during India visits; Instagram/WhatsApp small brands,"Online marketplaces (Amazon, Noon, Namshi); Physical stores/malls in UAE",61-100 AED,Sale or discount offer; Gift for someone; Impulse/mood shopping,Shirt-style/collar,Denim-look fabric,"Pastels (peach, lavender, mint, blush)",Flared/breezy fit,Geometric/abstract; Block print/Jaipur print; Solid/plain,3/4th sleeves,Shirt collar,Just above knee,,"Casual outings/errands; Festivals (Diwali, Eid, etc.)",None - I prefer buying single pieces,121-180 AED,Buy 2 Get 1 Free; Free delivery; Referral rewards,I prioritize comfort and practicality above everything,Too expensive for the quality offered; Difficult or costly returns; No major frustrations,Sometimes - depends on the brand/platform,Definitely would not,professional
R0847,28-34,Student (School/Undergraduate),South Asian,No personal income,1-5,2-3 times a month,Anouk (Myntra); Meesho/unbranded sellers; Local UAE stores/boutiques,WhatsApp-based sellers,30-60 AED,Sale or discount offer; Need for daily/work wardrobe refresh,Crop kurti; Kaftan-style,Pure Cotton; Denim-look fabric,"Earthy tones (mustard, rust, olive, brown)",Flared/breezy fit,Florals; Block print/Jaipur print,Full sleeves; 3/4th sleeves; Short/half sleeves,Boat neck,Mid-thigh,Jeans/denim; Leggings/jeggings,Daily college/university wear,"Vibe Check Drop (1 trendy statement piece, monthly limited)",Under 80 AED,"Flat percentage off (e.g., 20% off); Buy 2 Get 1 Free",I love mixing Indian and Western styles to create my own look,Sizing is inconsistent across brands; Limited trendy options for short kurtis; Can't find good curated sets/bundles,"Yes, frequently - it's a major concern",Probably would not,campus
R0848,28-34,Other,South Asian,,None,Rarely/Never,Local UAE stores/boutiques,Brand websites (D2C online stores),151-250 AED,Sale or discount offer,Straight-cut; Shirt-style/collar,Pure Cotton,"Pastels (peach, lavender, mint, blush)",Relaxed/loose fit,Geometric/abstract,Bell/statement sleeves,V-neck,Just above knee,Cigarette/straight pants,Parties/date nights; I don't wear kurtis currently,None - I prefer buying single pieces,181-250 AED,Free delivery,I only dress up for occasions - daily wear is minimal effort,No major frustrations,Never - I'm confident buying online,Definitely would buy,non_customer
R0849,28-34,Homemaker,Arab/Middle Eastern,"3,000-7,000 AED",6-12,Once in 2-3 months,Biba; Anouk (Myntra),Buy from India (trips or family shipments),101-150 AED,Upcoming festival/occasion; Sale or discount offer; New season or collection drop,Asymmetric/high-low hem,Georgette/Chiffon; Silk/Chanderi; Muslin,"Pastels (peach, lavender, mint, blush)",Slim/body-hugging fit,Florals; Embroidered/thread work,3/4th sleeves; Bell/statement sleeves,Round neck,Just above knee; Knee length,Palazzo pants,"Festivals (Diwali, Eid, etc.); Family gatherings/dinners; Parties/date nights; Weekend/lounging","Vibe Check Drop (1 trendy statement piece, monthly limited)",121-180 AED,Buy 2 Get 1 Free; Combo price lower than individual total,I only dress up for occasions - daily wear is minimal effort,Difficult or costly returns,Sometimes - depends on the brand/platform,Probably would buy,festive
R0850,18-22,Homemaker,African,"Above 20,000 AED",6-12,Once in 2-3 months,Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi); Physical stores/malls in UAE",151-250 AED,Gift for someone,A-line,Silk/Chanderi,"Pastels (peach, lavender, mint, blush); Bright/Pop colors (red, yellow, hot pink, orange)",Flared/breezy fit,Solid/plain; Mirror work/sequins,Bell/statement sleeves,Round neck,Just above knee,Palazzo pants,Family gatherings/dinners,Campus Essentials (3 daily-wear cotton kurtis); Festive Glow (2 embroidered/silk kurtis),Above 250 AED,"Flat percentage off (e.g., 20% off); First-order discount",I have a set style - I know what works and stick to it,Too expensive for the quality offered; Difficult or costly returns; Can't find good curated sets/bundles,Rarely - I'm usually okay with online purchases,Definitely would buy,festive
R0851,18-22,Student (School/Undergraduate),Western/European,No personal income,13-20,Once a month,Anouk (Myntra); Meesho/unbranded sellers; Instagram/WhatsApp small brands,"Online marketplaces (Amazon, Noon, Namshi)",Above 250 AED,Saw something trending on social media,A-line; Peplum; Asymmetric/high-low hem,Pure Cotton,"Pastels (peach, lavender, mint, blush); Neutrals (black, white, beige, grey); Bright/Pop colors (red, yellow, hot pink, orange); Multi-color/prints",Flared/breezy fit,Florals; Embroidered/thread work; Digital/contemporary prints,Full sleeves; Sleeveless; Short/half sleeves,Round neck,Just above knee,Jeans/denim; Leggings/jeggings,"Daily college/university wear; Casual outings/errands; Festivals (Diwali, Eid, etc.)",Campus Essentials (3 daily-wear cotton kurtis),Above 250 AED,Free delivery; Referral rewards,I love mixing Indian and Western styles to create my own look,Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged),Rarely - I'm usually okay with online purchases,Probably would buy,campus
R0852,23-27,Student (Postgraduate),Arab/Middle Eastern,"3,000-7,000 AED",More than 20,Rarely/Never,Local UAE stores/boutiques; Anouk (Myntra); Libas,"Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops; WhatsApp-based sellers",61-100 AED,New season or collection drop,Peplum,Denim-look fabric,"Bright/Pop colors (red, yellow, hot pink, orange)",Slim/body-hugging fit,Digital/contemporary prints,Sleeveless; Bell/statement sleeves,Shirt collar,Hip length (above mid-thigh),Cigarette/straight pants,"Casual outings/errands; Festivals (Diwali, Eid, etc.); Parties/date nights","Vibe Check Drop (1 trendy statement piece, monthly limited)",121-180 AED,,I follow trends closely and love experimenting with new styles,Poor delivery experience to UAE (slow/damaged),Sometimes - depends on the brand/platform,Might or might not,trend
R0853,Under 18,Student (School/Undergraduate),Western/European,No personal income,None,Weekly,Meesho/unbranded sellers,Physical stores/malls in UAE; WhatsApp-based sellers,Under 30 AED,Upcoming festival/occasion; Sale or discount offer; Gift for someone,Straight-cut; A-line; Anarkali (short flared); Asymmetric/high-low hem,Pure Cotton; Rayon,"Earthy tones (mustard, rust, olive, brown)",Relaxed/loose fit,Embroidered/thread work; Digital/contemporary prints,3/4th sleeves,V-neck,Just above knee,Palazzo pants,Daily college/university wear; Casual outings/errands; Family gatherings/dinners,"Campus Essentials (3 daily-wear cotton kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited); None - I prefer buying single pieces",181-250 AED,Buy 2 Get 1 Free,I follow trends closely and love experimenting with new styles,Sizing is inconsistent across brands; Too expensive for the quality offered; Not enough options for my size,"Yes, frequently - it's a major concern",Definitely would buy,campus
R0854,23-27,Student (School/Undergraduate),Western/European,"7,001-12,000 AED",None,Rarely/Never,Libas; I don't buy kurtis currently,Buy from India (trips or family shipments),61-100 AED,Gift for someone,Straight-cut,Rayon,"Neutrals (black, white, beige, grey)",Regular/comfort fit,Mirror work/sequins,Short/half sleeves,Mandarin/band collar,Hip length (above mid-thigh),Jeans/denim,I don't wear kurtis currently,"Vibe Check Drop (1 trendy statement piece, monthly limited)",Under 80 AED,Combo price lower than individual total,I prioritize comfort and practicality above everything,No major frustrations,Sometimes - depends on the brand/platform,Might or might not,non_customer
R0855,Under 18,Working Professional,South Asian,"Under 3,000 AED",None,Once a month,Libas; Meesho/unbranded sellers; Instagram/WhatsApp small brands,Physical stores/malls in UAE,,New season or collection drop,Crop kurti; Kaftan-style,Pure Cotton; Cotton-Linen blend,"Pastels (peach, lavender, mint, blush)",Flared/breezy fit,Florals; Block print/Jaipur print; Solid/plain; Embroidered/thread work,3/4th sleeves; Short/half sleeves; Sleeveless,Round neck; V-neck,Hip length (above mid-thigh),Leggings/jeggings; Skirts,Daily college/university wear; Casual outings/errands; Parties/date nights,Festive Glow (2 embroidered/silk kurtis),Above 250 AED,Referral rewards,I only dress up for occasions - daily wear is minimal effort,Fabric quality doesn't match product photos; Limited trendy options for short kurtis; Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged); Not enough options for my size,Rarely - I'm usually okay with online purchases,Might or might not,campus
R0856,Under 18,Student (School/Undergraduate),Other,No personal income,13-20,Once a month,Buy during India visits,"Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops; Physical stores/malls in UAE",61-100 AED,Sale or discount offer; Need for daily/work wardrobe refresh,A-line; Peplum; Crop kurti,Rayon; Georgette/Chiffon,"Pastels (peach, lavender, mint, blush); Earthy tones (mustard, rust, olive, brown); Jewel tones (emerald, maroon, royal blue, deep purple); Neutrals (black, white, beige, grey)",Relaxed/loose fit,Stripes/checks,Full sleeves,Round neck,Mid-thigh,Leggings/jeggings,Daily college/university wear; Weekend/lounging,Campus Essentials (3 daily-wear cotton kurtis),121-180 AED,Free delivery; Combo price lower than individual total,I follow trends closely and love experimenting with new styles,Fabric quality doesn't match product photos; Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged); Not enough options for my size,Rarely - I'm usually okay with online purchases,,campus
R0857,18-22,Student (Postgraduate),African,"12,001-20,000 AED",More than 20,Rarely/Never,Buy during India visits,Physical stores/malls in UAE; WhatsApp-based sellers,61-100 AED,Upcoming festival/occasion; Saw something trending on social media,A-line; Crop kurti,Rayon,"Pastels (peach, lavender, mint, blush)",Relaxed/loose fit,Stripes/checks,Short/half sleeves,,Mid-thigh; Just above knee,Leggings/jeggings; Cigarette/straight pants,"Daily college/university wear; Casual outings/errands; Festivals (Diwali, Eid, etc.)",,80-120 AED,"Flat percentage off (e.g., 20% off); Buy 2 Get 1 Free; I don't need discounts - I buy if I like the product",I only dress up for occasions - daily wear is minimal effort,Limited trendy options for short kurtis; Too expensive for the quality offered,Sometimes - depends on the brand/platform,Probably would buy,campus
R0858,35 and above,Working Professional,South Asian,"Above 20,000 AED",13-20,2-3 times a month,Libas; Local UAE stores/boutiques,Physical stores/malls in UAE,Above 250 AED,,Peplum,Silk/Chanderi,"Jewel tones (emerald, maroon, royal blue, deep purple)",Regular/comfort fit,Mirror work/sequins,Bell/statement sleeves,Round neck; Boat neck,Mid-thigh; Knee length,Leggings/jeggings; Dhoti pants/tulip pants,"Festivals (Diwali, Eid, etc.)",,80-120 AED,"Flat percentage off (e.g., 20% off); Free delivery; Combo price lower than individual total",I prioritize comfort and practicality above everything,Poor delivery experience to UAE (slow/damaged); Difficult or costly returns; Can't find good curated sets/bundles,Never - I'm confident buying online,Might or might not,festive
